Name :,Type :,Manufacturer :,Tested Models :,Rqs:
Mock,DAQ_Move,Simulation purpose,,
Conex,DAQ_Move,Newport,CONEX-AGAP controller,using the .Net ConexAGAPCmdLib library
Holoeye,DAQ_Move,Holoeye,LC2012,using slmdisplaysdk python package
Kinesis,DAQ_Move,Thorlabs,K10RC1 Stepper Motor Rotation Mount ,using the .Net Kinesis software
Kinesis_Flipper,DAQ_Move,Thorlabs,MFF101 Motorized Filter Flip Mounts,using the .Net Kinesis software
PI,DAQ_Move,Physik Instrumente,"E816, Mercury stepper, C-863",using the pipython package
PI_MMC,DAQ_Move,Physik Instrumente,C-862,using the MMC.dll library
PiezoConcept,DAQ_Move,PiezoConcept,Bio200,"pyvisa, piezoconcept wrapper"
Spectro270M,DAQ_Move,JobinYvon,,not working yet
OrsaySTEM,DAQ_Move,Orsay LPS lab,OUDS2,used to do Scanning Transmission Electron Microscopy using the custom OUDS electronics. Move the electronic beam
Mock,DAQ_0DViewer,Simulation purpose,,
NIDAQmx,DAQ_0DViewer,National Instruments,various not too old data acquisition cards,"using the daqmx package (need the daqmx dll), counting and Analog in average to produce 0D data"
Keithley_Pico,DAQ_0DViewer,Keithley,"648X, 6430, 6514",using pyvisa protocol
Lockin7270,DAQ_0DViewer,Ametek Signal Recovery,7270 DSP,using pyvisa protocol
Mock,DAQ_1DViewer,Simulation purpose,,
NIDAQmx,DAQ_1DViewer,National Instruments,various not too old data acquisition cards,"using the daqmx package (need the daqmx dll), Analog in"
OceanOptics,DAQ_1DViewer,OceanOptics,"USB2000, USB2000+, USB4000...",using the .Net NETOmniDriver-NET40
Picoscope,DAQ_1DViewer,PicoTechnology,picoscope 5000A,custom wrapper from the dll (not nicely written but working)
Shamrock,DAQ_1DViewer,Andor,all shamrock spectrometers,using a custom wrapper of the dll
Tektronix,DAQ_1DViewer,Tektronix,MDO30xx,"using pyvisa, light plugin to only get channels from screen"
TH260,DAQ_1DViewer,Picoquant,Timeharp260P,using a custom wrapper of the dll
Mock,DAQ_2DViewer,Simulation purpose,,
AndorCCD,DAQ_2DViewer,Andor,CCD Idus (should work with all CCDs),custom wrapper of the sdk2 dll
OpenCVCam,DAQ_2DViewer,webcams,,using windows universal driver and builtin functionalities from opencv-python
OrsayCamera,DAQ_2DViewer,Princeton/Ropers,PIXIS256,custom wrapper from Orsay LPS lab to interface cameras using 64 bit PICAM library
OrsayStem,DAQ_2DViewer,,,used to do Scanning Transmission Electron Microscopy using the custom OUDS electronics. acquire STEM images and SPIM data cubes
TCP_GRABBER,DAQ_2DViewer,/,/,TCP/IP server protocol to communicate with non local hardware.